channel,degree_centrality,betweenness_centrality,pagerank
MeghanTrainorVEVO,0.0746485700436258,0.004858852927463675,0.0015719495307439622
Diplo,0.08579738245273874,0.001620401419869844,0.0015579583692780972
Nerdwriter1,0.13572467280659234,0.0020969887620598694,0.0015514919043427631
BuzzFeedBlue,0.04653417353368881,0.003544342169410631,0.0015455424099801334
BBC News,0.05671352399418323,0.0183785560745203,0.0015447775824637133
Nintendo,0.022782355792535142,0.006100642739972678,0.0015385803808206622
NBC News,0.04265632573921474,0.0028670010830735837,0.001538189278745919
CBS This Morning,0.05380513814832768,0.014083073932148487,0.0015362528869750022
Mike Boyd,0.11148812409112943,0.003406847268243504,0.0015347791261683997
TroyeSivanVEVO,0.0896752302472128,0.009202815708742797,0.0015212664935909737
Hannah Stocking,0.04750363548230732,7.888373070845689e-05,0.0015181670147933004
Kelly Clarkson,0.08434318952981096,0.001723967844665241,0.0015178793486125494
How To Cake It,0.05622879301987397,2.4115086957951313e-05,0.0015164366246384552
Team Coco,0.052835676199709164,0.025304798451852642,0.0015024460311940351
Hydraulic Press Channel,0.03296170625302957,0.0010917042534102387,0.0014712333507723894
TMZ,0.12893843916626274,0.004794044442245911,0.0014662335969709654
IGN,0.11924381968007756,0.0187771075019145,0.0014662286899132485
Simply Nailogical,0.13717886572952012,0.0008210905987551247,0.001455425635663995
Britain's Got Talent,0.06253029568589433,0.00021520019974237927,0.0014530135542093995
CAguileraVEVO,0.06931652932622395,0.0007638479369573556,0.0014498702711352807
Linus Tech Tips,0.036839554047503636,0.0028892745120600366,0.001439717408340285
John Campea,0.12263693650024238,0.0007007519521410031,0.0014375424906198214
Unbox Therapy,0.036354823073194376,0.0036066963918926632,0.0014342849186172756
As/Is,0.03344643722733883,4.67996077460991e-05,0.001418035441363277
Lucas the Spider,0.026660203587009212,0.0007205313596800743,0.0014116186402839525
BBCRadio1VEVO,0.08628211342704799,0.0027980694768722433,0.0014044049717282447
Lauv,0.09209888511875909,0.007626244458601137,0.001404302865621678
FOX Soccer,0.03829374697043141,0.007333938232985034,0.0013977101525806759
GQ,0.11148812409112943,0.006478179111385388,0.001394869425913586
Bad Lip Reading,0.04265632573921474,0.00021189337904745412,0.0013789895160036378
How Ridiculous,0.02472127968977218,0.00042893190082970935,0.0013690365480861417
Simone Giertz,0.031022782355792537,0.011001207623565818,0.001365929978757912
ChainsmokersVEVO,0.08095007270964615,0.0018180980064766712,0.0013654166510937205
LaurDIY,0.04265632573921474,1.0605110422548795e-06,0.0013628430388259306
TheReportOfTheWeek,0.1129423170140572,0.0012220616477094516,0.0013583530068109354
Wendy Williams,0.11488124091129423,0.003875897167313553,0.0013515244748224548
TaylorSwiftVEVO,0.08337372758119244,0.0007028666572761646,0.0013431733372555941
CBS News,0.033931168201648085,7.516437349647034e-05,0.001342805532488535
Alan Walker,0.09015996122152206,0.0019466137457950308,0.0013411160779217878
ExplosmEntertainment,0.048473097430925836,0.0017926233787294828,0.0013386778826559088
SamSmithWorldVEVO,0.08191953465826467,0.001091069052073309,0.001336073596473244
Lip Sync Battle,0.11245758603974794,0.0005484547818326744,0.0013338533593472398
Teen Vogue,0.10567135239941833,0.029889697186456947,0.0013289120460918482
Ed Sheeran,0.0979156568104702,0.0008263366004428178,0.0013224942775315145
Kurzgesagt – In a Nutshell,0.02084343189529811,0.0033202317421918404,0.0013221439799116228
ThreadBanger,0.055744062045564716,0.0024268763950603877,0.0013210483039902193
JenniferLopezVEVO,0.06786233640329617,0.0005199547431334471,0.0013177759753730395
Papa Jake,0.057682985942801746,1.2441188314721776e-05,0.0013177061081205736
