model,num_nodes,num_edges,average_clustering,average_shortest_path_length,diameter,power_law_alpha,country
Real,2195,69037,0.7578681141440146,2.7859187053498777,10,2.6886802526277487,US
Erdos-Renyi (ER),2195,69037,0.028700631886251594,2.1315715048081016,3,2.999999999999999,US
Barabasi-Albert (BA),2195,67084,0.07490700513669024,2.149832116166891,3,2.8830126882298472,US
Watts-Strogatz (WS),2195,70240,0.5395957861423955,2.6216211951003254,4,2.999999999999999,US
Real,1617,64840,0.765690451907343,2.8178205360924546,7,2.637265666889141,GB
Erdos-Renyi (ER),1617,64840,0.04954401960994017,1.967937354959986,3,2.999999999999999,GB
Barabasi-Albert (BA),1617,63080,0.10869767322665451,1.9959702602913352,3,2.8862349213033758,GB
Watts-Strogatz (WS),1617,64680,0.5448834017992403,2.356681331398446,3,2.999999999999999,GB
